# abstract kanji (N1).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
素	ソ、ス		element; bare; plain	糸	いと	龶、糸	10	5
密	ミツ		dense; secret; minute	宀	うかんむり	宀、宓	11	6
麗	レイ	うるわ(しい)	lovely; beautiful	鹿	しか	丽、鹿	19
奇	キ		strange; odd; mysterious	大	だい	大、可	8
厳	ゲン、ゴン	おごそ(か)、きび(しい)	strict; solemn; severe	小	しょう	⺍、敢	17	6
緊	キン		tense; tight; urgent	糸	いと	臤、糸	15
巧	コウ	たく(み)	skillful; adroit; cunning	工	たくみへん	工、丂	5
影	エイ	かげ	shadow; silhouette	彡	さんづくり	景、彡	15
端	タン	はし、は、はた	edge; end; origin	立	たつへん	立、耑	14
偽	ギ	いつわ(る)、にせ	false; lie; counterfeit	亻	にんべん	亻、為	11
儀	ギ		ceremony; affair; case	亻	にんべん	亻、義	15
吉	キチ、キツ		good luck; auspicious	口	くち	士、口	6
賀	ガ		congratulations; celebration	貝	かい	加、貝	12	5
閣	カク		palace; tower; cabinet	門	もんがまえ	門、各	14	6
貴	キ	たっと(い)、とうと(い)	precious; noble; your	貝	かい	中、一、貝	12	6
輝	キ	かがや(く)	to shine; to sparkle	車	くるま	光、軍	15
拠	キョ、コ		basis; foundation; to depend	扌	てへん	扌、処	8
源	ゲン	みなもと	source; origin	氵	さんずい	氵、原	13	6
裁	サイ	た(つ)、さば(く)	to judge; to cut (cloth)	衣	ころも	龶、戈、衣	12	6
載	サイ	の(せる)、の(る)	to load; to publish; to record	車	くるま	龶、戈、車	13
策	サク		plan; scheme; measure	竹	たけかんむり	竹、朿	12	6
樹	ジュ	き	tree; to establish	木	きへん	木、尌	16	6
護	ゴ		to protect; to defend	言	ごんべん	言、蒦	20	5
献	ケン、コン		to offer; to present; dedication	犬	いぬ	南、犬	13
災	サイ	わざわ(い)	calamity; disaster	火	ひ	巛、火	7	5
納	ノウ、ナッ	おさ(める)、おさ(まる)	to pay; to supply; to store	糸	いとへん	糸、内	10	6
統	トウ	す(べる)	to govern; to unite; lineage	糸	いとへん	糸、充	12	5
秘	ヒ	ひ(める)	secret; to conceal	禾	のぎへん	禾、必	10	6
離	リ	はな(れる)、はな(す)	to separate; to leave	隹	ふるとり	离、隹	18
幹	カン	みき	trunk; main part	干	かん	龺、干	13	5
傘	サン	かさ	umbrella	人	ひとやね	𠆢、十	12
射	シャ	い(る)	to shoot; to fire	寸	すん	身、寸	10	6
渋	ジュウ	しぶ、しぶ(い)、しぶ(る)	astringent; reluctant	氵	さんずい	氵、止、又	11
伴	ハン、バン	ともな(う)	to accompany; companion	亻	にんべん	亻、半	7
艶	エン	つや	gloss; charm; luster	色	いろ	豊、色	19
及	キュウ	およ(ぶ)、およ(び)	to reach; to extend; and	又	また		3
潔	ケツ	いさぎよ(い)	pure; clean; manly	氵	さんずい	氵、絜	15	5
獄	ゴク		prison; jail	犭	けものへん	犭、言、犬	14
朱	シュ		vermilion; cinnabar red	木	き	牛、木	6
秀	シュウ	ひい(でる)	excellent; superior	禾	のぎ	禾、乃	7
充	ジュウ	あ(てる)	to fill; to allot; full	儿	ひとあし	亠、儿	6	6
汁	ジュウ	しる	soup; juice; sap	氵	さんずい	氵、十	5
旋	セン		to rotate; to revolve	方	ほうへん	方、㫃、疋	11
鮮	セン	あざ(やか)	fresh; vivid; clear	魚	うおへん	魚、羊	17
粗	ソ	あら(い)	coarse; rough; crude	米	こめへん	米、且	11
創	ソウ	つく(る)	to create; wound; original	刂	りっとう	倉、刂	12	6
態	タイ		condition; appearance; voice	心	こころ	能、心	14	5
奈	ナ		(phonetic na); Nara	大	だい	大、示	8
乏	ボウ	とぼ(しい)	scarce; meager	丿	の	丿、之	4
房	ボウ	ふさ	tassel; cluster; chamber	戸	とかんむり	戸、方	8
漫	マン		random; involuntary; comic; rambling	氵	さんずい	氵、曼	14
模	モ、ボ		imitation; model; pattern	木	きへん	木、莫	14	6
裕	ユウ		abundant; affluent	衤	ころもへん	衤、谷	12	6
雄	ユウ	お、おす	male; heroic; brave	隹	ふるとり	厷、隹	12
箇	カ		counter for items; piece	竹	たけかんむり	竹、固	14
概	ガイ		approximately; outline; general	木	きへん	木、既	14
喝	カツ		to scold; hoarse	口	くちへん	口、曷	11
晶	ショウ		crystal; clear	日	ひ	日、日、日	12
詳	ショウ	くわ(しい)	detailed; precise	言	ごんべん	言、羊	13
冗	ジョウ		superfluous; redundant; useless	冖	わかんむり	冖、几	4
